                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.63857,                0.56765,                 1.0436,                0.93739,                0.95577,                0.97894,                0.84613,                0.57376,                0.34475,                0.92449,               0.003367,               0.003367,               0.003367
                     70,                0.63615,                0.56357,                 1.0445,                0.93381,                0.95364,                0.97928,                0.84591,                0.57525,                0.34407,                 0.9253,               0.003268,               0.003268,               0.003268
                     71,                0.62455,                0.55738,                 1.0386,                0.95794,                0.93455,                0.97957,                0.84668,                0.57515,                0.34246,                0.92554,               0.003169,               0.003169,               0.003169
                     72,                0.62865,                 0.5583,                 1.0391,                0.95371,                0.93728,                0.97937,                0.84549,                0.57584,                0.34265,                0.92657,                0.00307,                0.00307,                0.00307
                     73,                 0.6192,                0.55438,                 1.0365,                0.95181,                0.93615,                0.97926,                0.84614,                0.57493,                0.34075,                0.92675,               0.002971,               0.002971,               0.002971
                     74,                 0.6199,                0.54968,                 1.0381,                0.94865,                0.94104,                0.97939,                 0.8456,                0.57443,                0.34006,                0.92714,               0.002872,               0.002872,               0.002872
                     75,                0.61373,                0.54203,                 1.0341,                0.95036,                0.93902,                0.97935,                0.84713,                0.57502,                0.33959,                0.92821,               0.002773,               0.002773,               0.002773
                     76,                 0.6078,                0.53717,                 1.0306,                 0.9491,                0.93895,                0.97944,                0.84702,                 0.5747,                0.33789,                0.92914,               0.002674,               0.002674,               0.002674
                     77,                0.60556,                0.53489,                 1.0322,                0.95207,                0.93517,                0.97974,                 0.8474,                0.57451,                0.33772,                0.92845,               0.002575,               0.002575,               0.002575
                     78,                0.60431,                0.52376,                 1.0308,                0.95237,                0.93422,                0.97979,                0.84643,                0.57415,                0.33766,                0.92848,               0.002476,               0.002476,               0.002476
                     79,                0.59814,                0.51868,                 1.0295,                0.95083,                0.93479,                0.97974,                0.84612,                0.57555,                0.33764,                0.92977,               0.002377,               0.002377,               0.002377
                     80,                0.59427,                0.52173,                 1.0268,                0.94329,                0.94081,                 0.9795,                0.84595,                0.57625,                0.33694,                0.92981,               0.002278,               0.002278,               0.002278
                     81,                0.59234,                0.51674,                 1.0265,                0.94536,                0.94017,                0.97945,                0.84509,                0.57811,                0.33733,                0.93147,               0.002179,               0.002179,               0.002179
                     82,                0.59286,                0.51207,                 1.0281,                 0.9484,                0.93472,                 0.9795,                0.84534,                0.57809,                0.33622,                0.93105,                0.00208,                0.00208,                0.00208
                     83,                0.59133,                0.51127,                 1.0253,                0.94766,                0.93743,                0.97972,                 0.8456,                0.57795,                0.33627,                0.93125,               0.001981,               0.001981,               0.001981
                     84,                0.57884,                0.50454,                 1.0217,                0.94652,                0.93916,                0.97965,                0.84573,                0.57762,                 0.3355,                0.93098,               0.001882,               0.001882,               0.001882
                     85,                0.57401,                0.50091,                 1.0199,                0.94552,                0.94002,                0.97949,                0.84559,                0.57858,                0.33522,                0.93133,               0.001783,               0.001783,               0.001783
                     86,                 0.5765,                0.49742,                 1.0168,                0.94168,                 0.9419,                0.97959,                0.84579,                0.57836,                0.33508,                0.93125,               0.001684,               0.001684,               0.001684
                     87,                0.57109,                0.49885,                  1.019,                0.94176,                0.94153,                 0.9796,                0.84626,                0.57827,                0.33504,                0.93124,               0.001585,               0.001585,               0.001585
